time_step,time,target_vel,intensity,current_joint,min_distance
1,1725343251.1295335,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007797909784130752, -1.0471099615097046, 1.1480699868116062e-05, -2.099260091781616, 0.0005488210008479655, 2.618350028991699, 0.7858200073242188]",0.3861873745918274
2,1725343251.154317,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007814610144123435, -1.0471099615097046, 9.810270057641901e-06, -2.099260091781616, 0.0005449759773910046, 2.618340015411377, 0.7858189940452576]",0.38618728518486023
3,1725343251.1786988,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007798700244165957, -1.0471099615097046, 1.1480699868116062e-05, -2.099260091781616, 0.0005487820017151535, 2.618340015411377, 0.7858200073242188]",0.386187344789505
4,1725343251.2032695,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007863279897719622, -1.0471199750900269, 1.3151099665265065e-05, -2.099260091781616, 0.0005456249928101897, 2.618340015411377, 0.78581702709198]",0.38618749380111694
5,1725343251.2278101,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007845910149626434, -1.0471099615097046, 8.13983024272602e-06, -2.099260091781616, 0.0005508559988811612, 2.618340015411377, 0.78581702709198]",0.38618728518486023
6,1725343251.2525892,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007927190163172781, -1.0471099615097046, 9.810270057641901e-06, -2.099260091781616, 0.00054882001131773, 2.618340015411377, 0.7858150005340576]",0.38618728518486023
7,1725343251.2773097,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007893780129961669, -1.0471199750900269, 1.1483600246720016e-05, -2.099260091781616, 0.000549532996956259, 2.618340015411377, 0.7858200073242188]",0.38618746399879456
8,1725343251.3021486,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007925740210339427, -1.0471099615097046, 1.0520499927224591e-05, -2.0992701053619385, 0.0005488210008479655, 2.618350028991699, 0.78581702709198]",0.38618484139442444
9,1725343251.326896,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007940729847177863, -1.0471099615097046, 9.810270057641901e-06, -2.099260091781616, 0.0005482090055011213, 2.618340015411377, 0.7858160138130188]",0.38618725538253784
10,1725343251.3514056,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007962299860082567, -1.0471099615097046, 1.1489500138850417e-05, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.7858160138130188]",0.38618728518486023
11,1725343251.3757718,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007989630103111267, -1.0471199750900269, 9.821969797485508e-06, -2.099260091781616, 0.0005481709958985448, 2.618340015411377, 0.7858189940452576]",0.3861873149871826
12,1725343251.400355,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0007980149821378291, -1.0471099615097046, 9.810320079850499e-06, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.7858179807662964]",0.38618725538253784
13,1725343251.4249074,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008038320229388773, -1.0471099615097046, 9.810270057641901e-06, -2.099260091781616, 0.0005468879826366901, 2.618340015411377, 0.7858200073242188]",0.38618725538253784
14,1725343251.4494934,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008062209817580879, -1.0471199750900269, 9.810270057641901e-06, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.78581702709198]",0.386187344789505
15,1725343251.4740155,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008069489849731326, -1.0471199750900269, 8.142759725160431e-06, -2.099260091781616, 0.0005475999787449837, 2.618340015411377, 0.7858189940452576]",0.386187344789505
16,1725343251.4984977,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008053570054471493, -1.0471099615097046, 1.1480799912533257e-05, -2.099260091781616, 0.0005488210008479655, 2.618340015411377, 0.7858160138130188]",0.3861874043941498
17,1725343251.5230088,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008128599729388952, -1.0471099615097046, 8.13983024272602e-06, -2.099260091781616, 0.0005488210008479655, 2.618340015411377, 0.7858179807662964]",0.38618728518486023
18,1725343251.5474691,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008102229912765324, -1.0471099615097046, 1.1480699868116062e-05, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.7858160138130188]",0.38618725538253784
19,1725343251.572054,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008102229912765324, -1.0471099615097046, 1.1482000445539597e-05, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.7858200073242188]",0.38618725538253784
20,1725343251.5966275,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008081169798970222, -1.0471099615097046, 1.1480699868116062e-05, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.7858160138130188]",0.3861873149871826
21,1725343251.6211643,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008134189993143082, -1.0471199750900269, 9.810270057641901e-06, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.7858200073242188]",0.386187344789505
22,1725343251.6456082,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008134189993143082, -1.0471099615097046, 9.810270057641901e-06, -2.099260091781616, 0.0005527290049940348, 2.618340015411377, 0.7858200073242188]",0.386187344789505
23,1725343251.6701753,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008154319948516786, -1.0471099615097046, 1.3151099665265065e-05, -2.099260091781616, 0.0005488210008479655, 2.618340015411377, 0.7858150005340576]",0.3861874043941498
24,1725343251.694728,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008132479852065444, -1.0471199750900269, 8.139980309351813e-06, -2.099260091781616, 0.0005488210008479655, 2.618340015411377, 0.7858189940452576]",0.38618728518486023
25,1725343251.7192976,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008166150073520839, -1.0471099615097046, 6.190990006871289e-06, -2.099260091781616, 0.0005501440027728677, 2.618340015411377, 0.78581702709198]",0.3861871063709259
26,1725343251.7439356,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008154839742928743, -1.0471099615097046, 1.315099962084787e-05, -2.099260091781616, 0.0005488210008479655, 2.618340015411377, 0.7858189940452576]",0.3861874043941498
27,1725343251.7684712,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008161279838532209, -1.0471099615097046, 9.813190445129294e-06, -2.099260091781616, 0.0005482109845615923, 2.618340015411377, 0.7858150005340576]",0.38618719577789307
28,1725343251.7931,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008181139710359275, -1.0471199750900269, 1.1586899745452683e-05, -2.099260091781616, 0.0005496519734151661, 2.618340015411377, 0.7858150005340576]",0.38618743419647217
29,1725343251.8176272,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008181399898603559, -1.0471099615097046, 9.810270057641901e-06, -2.099260091781616, 0.000549532996956259, 2.618340015411377, 0.7858160138130188]",0.38618725538253784
30,1725343251.8419962,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008195510017685592, -1.0471199750900269, 9.810270057641901e-06, -2.0992701053619385, 0.0005482109845615923, 2.618340015411377, 0.7858179807662964]",0.3861847221851349
31,1725343251.8667486,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,"[0.0008266260265372694, -1.0471099615097046, 8.13983024272602e-06, -2.099260091781616, 0.0005488210008479655, 2.618340015411377, 0.7858179807662964]",0.38618722558021545
